dateTime.decimalPoint|,
abbr.organization|org
abbr.business|vrk
abbr.department|avd
abbr.diplomaNo|d.no
abbr.courseId|c.id
abbr.automatic|auto
abbr.sinceBeginningOfTime|s.t.m
abbr.emailRegarding|rei
option.ignore|ignorer
option.allNotified|alle som er varsla
option.notUsedAfterNotification|ikkje brukt etter varsel
option.hasUsedAfterNotification|har brukt etter varsel
option.attached|tilknytt
option.onlyAttached|berre tilknytte
option.onlyNotAttached|berre ikkje tilknytte
option.notAttached|ikkje knytte til
option.onlyWith|berre med
option.onlyWithout|berre utan
option.active|aktive
option.notActive|ikkje aktive
option.confirmed|stadfesta
option.notConfirmed|ikkje stadfesta
option.hasActiveProducts|har aktive produkt
option.hasDeactivatedProducts|har deaktiverte produkt
option.noOwnProducts|ingen eigne produkt
jobTitle.customerImport|kundeimport
jobTitle.ppUnitImport|importerer Plusport-avdelingar
jobTitle.analyticsUpdate|analytics oppdatering
jobTitle.updateBrregUnits|oppdaterer Brreg-einingar
jobTitle.addingFeideDomains|oppdaterer Feide domene
jobTitle.areYouAlive|er du i live?
jobTitle.connectProvisioning|conneect provisjonering
jobTitle.exportUsersToVismaLearn|eksportera brukarar til Visma Learn
jobTitle.exportUnitsToVismaLearn|eksportera einingar til Visma Learn
jobTitle.soExport|lagar CSV for SuperOffice
yearwheel.newYearwheel|nytt årshjul
yearwheel.createNew|opprett nytt årshjul
yearwheel.yourWheel|årshjulet ditt
yearwheel.yourWheels|årshjula dine
yearwheel.createFromTemplate|opprett årshjul frå mal
yearwheel.newList|ny liste
yearwheel.heading|overskrift
yearwheel.addHeading|legg til overskrift
yearwheel.addParagraph|legg til avsnitt
yearwheel.addDropzone|legg til sleppområde
yearwheel.addBulletList|legg til punktliste
yearwheel.newBullet|nytt punkt
yearwheel.sectorIcon|sektorikon
yearwheel.bulletX|punkt [X]
yearwheel.viewHtml|vis HTML
yearwheel.preview|førehandsvisning
yearwheel.viewEditmode|vis redigeringsmodus
yearwheel.listElements|liste element
yearwheel.updatingLists|oppdaterer lister
yearwheel.resizableImage|bilete som kan endrast storleik
yearwheel.noYearwheelContentFound|ingen årshjul-HTML lagra
yearwheel.backgrounds.default|hjul med månader
yearwheel.backgrounds.blueEmpty|Tom blå
yearwheel.images.emptyWheel|tomt hjul
yearwheel.images.wheelWithMonths|hjul med månader
yearwheel.images.staircaseEmployees|trappar
yearwheel.images.productLogo|Veilederen logo
yearwheel.images.productIcon|Veilederen icon
yearwheel.err.noContent.title|ingen innhald
yearwheel.err.noContent.msg|dette årshjulet er tomt, og kan derfor ikkje largres
